,text,Does the sentence describe a personal reflection or thought?,Does the sentence contain a proper noun?,Does the sentence describe a physical action?,Does the sentence describe a personal or social interaction that leads to a change or revelation?,Does the sentence involve the mention of a specific object or item?,Does the sentence involve a description of physical environment or setting?,Does the sentence describe a relationship between people?,Does the sentence mention a specific location?,Is time mentioned in the input?,Is the sentence abstract rather than concrete?,Does the sentence express the narrator's opinion or judgment about an event or character?,Is the input related to a specific industry or profession?,Does the sentence include dialogue?,Does the sentence describe a visual experience or scene?,Does the input involve planning or organizing?,Does the sentence involve spatial reasoning?,Does the sentence involve an expression of personal values or beliefs?,Does the sentence contain a negation?,Does the sentence describe a sensory experience?,Does the sentence include technical or specialized terminology?,Does the input contain a number?,Does the sentence contain a cultural reference?,Does the text describe a mode of communication?,Does the input include a comparison or metaphor?,Does the sentence express a sense of belonging or connection to a place or community?,Does the sentence describe a specific sensation or feeling?,Does the text include a planning or decision-making process?,Does the sentence include a personal anecdote or story?,Does the sentence involve a discussion about personal or social values?,Does the text describe a journey?,Does the input contain a measurement?,Does the sentence describe a physical sensation?,Does the sentence include a direct speech quotation?,"Is the sentence reflective, involving self-analysis or introspection?",Does the input describe a specific texture or sensation?
982,lights and uh the roads are getting wider and wider and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,and uh the roads are getting wider and wider and there's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,uh the roads are getting wider and wider and there's more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,the roads are getting wider and wider and there's more cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,roads are getting wider and wider and there's more cars and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,are getting wider and wider and there's more cars and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,getting wider and wider and there's more cars and i see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,wider and wider and there's more cars and i see um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,and wider and there's more cars and i see um lots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,wider and there's more cars and i see um lots of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,and there's more cars and i see um lots of stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,there's more cars and i see um lots of stores you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,more cars and i see um lots of stores you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,cars and i see um lots of stores you know laundromats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,and i see um lots of stores you know laundromats and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,i see um lots of stores you know laundromats and dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,see um lots of stores you know laundromats and dollar stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,um lots of stores you know laundromats and dollar stores and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,lots of stores you know laundromats and dollar stores and emergecenters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,of stores you know laundromats and dollar stores and emergecenters and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,stores you know laundromats and dollar stores and emergecenters and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,you know laundromats and dollar stores and emergecenters and then we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,know laundromats and dollar stores and emergecenters and then we cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,laundromats and dollar stores and emergecenters and then we cross over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,and dollar stores and emergecenters and then we cross over us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,dollar stores and emergecenters and then we cross over us one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,stores and emergecenters and then we cross over us one and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,and emergecenters and then we cross over us one and uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,emergecenters and then we cross over us one and uh she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,and then we cross over us one and uh she leads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,then we cross over us one and uh she leads me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,we cross over us one and uh she leads me to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,cross over us one and uh she leads me to some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,over us one and uh she leads me to some place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,us one and uh she leads me to some place and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,one and uh she leads me to some place and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,and uh she leads me to some place and i think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,uh she leads me to some place and i think no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,she leads me to some place and i think no but,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,leads me to some place and i think no but yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,me to some place and i think no but yes carl's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,to some place and i think no but yes carl's efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,some place and i think no but yes carl's efficiency apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,place and i think no but yes carl's efficiency apartments this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,and i think no but yes carl's efficiency apartments this girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,i think no but yes carl's efficiency apartments this girl lives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,think no but yes carl's efficiency apartments this girl lives there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,no but yes carl's efficiency apartments this girl lives there and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,but yes carl's efficiency apartments this girl lives there and it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,yes carl's efficiency apartments this girl lives there and it's horrible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,carl's efficiency apartments this girl lives there and it's horrible and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,efficiency apartments this girl lives there and it's horrible and it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,apartments this girl lives there and it's horrible and it's lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,this girl lives there and it's horrible and it's lit up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,girl lives there and it's horrible and it's lit up so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,lives there and it's horrible and it's lit up so bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,there and it's horrible and it's lit up so bright just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,and it's horrible and it's lit up so bright just to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,it's horrible and it's lit up so bright just to illuminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,horrible and it's lit up so bright just to illuminate the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,and it's lit up so bright just to illuminate the horribleness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,it's lit up so bright just to illuminate the horribleness of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,lit up so bright just to illuminate the horribleness of it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,up so bright just to illuminate the horribleness of it it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,so bright just to illuminate the horribleness of it it's the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,bright just to illuminate the horribleness of it it's the kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,just to illuminate the horribleness of it it's the kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,to illuminate the horribleness of it it's the kind of place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,illuminate the horribleness of it it's the kind of place where,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,the horribleness of it it's the kind of place where you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,horribleness of it it's the kind of place where you drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,of it it's the kind of place where you drive your,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,it it's the kind of place where you drive your car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,it's the kind of place where you drive your car right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,the kind of place where you drive your car right up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,kind of place where you drive your car right up and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,of place where you drive your car right up and the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,place where you drive your car right up and the door's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,where you drive your car right up and the door's right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,you drive your car right up and the door's right there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,drive your car right up and the door's right there and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,your car right up and the door's right there and there's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,car right up and the door's right there and there's fifty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,right up and the door's right there and there's fifty million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,up and the door's right there and there's fifty million cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,and the door's right there and there's fifty million cigarette butts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,the door's right there and there's fifty million cigarette butts outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,door's right there and there's fifty million cigarette butts outside and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,right there and there's fifty million cigarette butts outside and there's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,there and there's fifty million cigarette butts outside and there's like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,and there's fifty million cigarette butts outside and there's like doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,there's fifty million cigarette butts outside and there's like doors one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,fifty million cigarette butts outside and there's like doors one through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,million cigarette butts outside and there's like doors one through seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,cigarette butts outside and there's like doors one through seven and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,butts outside and there's like doors one through seven and you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,outside and there's like doors one through seven and you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,and there's like doors one through seven and you know behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,there's like doors one through seven and you know behind every,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,like doors one through seven and you know behind every single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,doors one through seven and you know behind every single door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,one through seven and you know behind every single door there's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,through seven and you know behind every single door there's some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,seven and you know behind every single door there's some horrible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,and you know behind every single door there's some horrible misery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,you know behind every single door there's some horrible misery going,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,know behind every single door there's some horrible misery going on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,behind every single door there's some horrible misery going on there's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,every single door there's some horrible misery going on there's someone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,single door there's some horrible misery going on there's someone crying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,door there's some horrible misery going on there's someone crying or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,there's some horrible misery going on there's someone crying or drunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,some horrible misery going on there's someone crying or drunk or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,horrible misery going on there's someone crying or drunk or lonely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,misery going on there's someone crying or drunk or lonely or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,going on there's someone crying or drunk or lonely or cruel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,on there's someone crying or drunk or lonely or cruel and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,there's someone crying or drunk or lonely or cruel and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,someone crying or drunk or lonely or cruel and i think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,crying or drunk or lonely or cruel and i think oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,or drunk or lonely or cruel and i think oh god,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,drunk or lonely or cruel and i think oh god she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,or lonely or cruel and i think oh god she lives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,lonely or cruel and i think oh god she lives here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,or cruel and i think oh god she lives here how,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,cruel and i think oh god she lives here how awful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,and i think oh god she lives here how awful we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,i think oh god she lives here how awful we go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,think oh god she lives here how awful we go to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,oh god she lives here how awful we go to the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,god she lives here how awful we go to the door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,she lives here how awful we go to the door door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,lives here how awful we go to the door door number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,here how awful we go to the door door number four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,how awful we go to the door door number four and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,awful we go to the door door number four and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,we go to the door door number four and she very,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,go to the door door number four and she very very,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,to the door door number four and she very very quietly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,the door door number four and she very very quietly keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,door door number four and she very very quietly keys in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,door number four and she very very quietly keys in as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,number four and she very very quietly keys in as soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,four and she very very quietly keys in as soon as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,and she very very quietly keys in as soon as the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,she very very quietly keys in as soon as the door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,very very quietly keys in as soon as the door opens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,very quietly keys in as soon as the door opens i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,quietly keys in as soon as the door opens i hear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,keys in as soon as the door opens i hear the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,in as soon as the door opens i hear the blare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,as soon as the door opens i hear the blare of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,soon as the door opens i hear the blare of television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,as the door opens i hear the blare of television come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,the door opens i hear the blare of television come out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,door opens i hear the blare of television come out and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,opens i hear the blare of television come out and on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,i hear the blare of television come out and on the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,hear the blare of television come out and on the blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,the blare of television come out and on the blue light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,blare of television come out and on the blue light of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,of television come out and on the blue light of the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,television come out and on the blue light of the television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,come out and on the blue light of the television the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,out and on the blue light of the television the smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,and on the blue light of the television the smoke of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,on the blue light of the television the smoke of a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,the blue light of the television the smoke of a hundred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,blue light of the television the smoke of a hundred cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,light of the television the smoke of a hundred cigarettes in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,of the television the smoke of a hundred cigarettes in that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,the television the smoke of a hundred cigarettes in that little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,television the smoke of a hundred cigarettes in that little crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,the smoke of a hundred cigarettes in that little crack of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,smoke of a hundred cigarettes in that little crack of light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,of a hundred cigarettes in that little crack of light and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,a hundred cigarettes in that little crack of light and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,hundred cigarettes in that little crack of light and i hear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,cigarettes in that little crack of light and i hear the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,in that little crack of light and i hear the man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,that little crack of light and i hear the man and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,little crack of light and i hear the man and he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,crack of light and i hear the man and he says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,of light and i hear the man and he says where,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,light and i hear the man and he says where were,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,and i hear the man and he says where were you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,i hear the man and he says where were you and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,hear the man and he says where were you and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,the man and he says where were you and she says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,man and he says where were you and she says never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,and he says where were you and she says never mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,he says where were you and she says never mind i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,says where were you and she says never mind i'm back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,where were you and she says never mind i'm back and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,were you and she says never mind i'm back and he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,you and she says never mind i'm back and he says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,and she says never mind i'm back and he says you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,she says never mind i'm back and he says you alright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,says never mind i'm back and he says you alright and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,never mind i'm back and he says you alright and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,mind i'm back and he says you alright and she says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,i'm back and he says you alright and she says yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,back and he says you alright and she says yeah i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,and he says you alright and she says yeah i'm alright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,he says you alright and she says yeah i'm alright and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,says you alright and she says yeah i'm alright and then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,you alright and she says yeah i'm alright and then she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,alright and she says yeah i'm alright and then she turns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,and she says yeah i'm alright and then she turns to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,she says yeah i'm alright and then she turns to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,says yeah i'm alright and then she turns to me and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,yeah i'm alright and then she turns to me and says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,i'm alright and then she turns to me and says you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,alright and then she turns to me and says you want,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,and then she turns to me and says you want a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,then she turns to me and says you want a beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,she turns to me and says you want a beer and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,turns to me and says you want a beer and he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,to me and says you want a beer and he says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,me and says you want a beer and he says who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,and says you want a beer and he says who the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,says you want a beer and he says who the fuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,you want a beer and he says who the fuck is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,want a beer and he says who the fuck is that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,a beer and he says who the fuck is that and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,beer and he says who the fuck is that and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,and he says who the fuck is that and she pulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,he says who the fuck is that and she pulls me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,says who the fuck is that and she pulls me over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,who the fuck is that and she pulls me over and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,the fuck is that and she pulls me over and he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,fuck is that and she pulls me over and he sees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,is that and she pulls me over and he sees me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,that and she pulls me over and he sees me and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,and she pulls me over and he sees me and he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,she pulls me over and he sees me and he says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,pulls me over and he sees me and he says oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,me over and he sees me and he says oh hey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,over and he sees me and he says oh hey i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,and he sees me and he says oh hey i'm not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,he sees me and he says oh hey i'm not a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,sees me and he says oh hey i'm not a threat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,me and he says oh hey i'm not a threat just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
